"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"AMERICAN S","Food and live animals",2700192,489,5522,0
"ANGOLA","Food and live animals",15806300,2780,5686,0
"AUSTRALIA","Food and live animals",12937280,12559,1030,0
"AUSTRIA","Food and live animals",22685538,7201,3150,0
"BAHRAIN","Food and live animals",200385,500,401,0.06
"BELGIUM","Food and live animals",11892901,444213,2678,0
"TOTSWANA","Food and live animals",10599919,4082,2597,0
"BRAZIL","Food and live animals",2243808,750,2992,0
"BULGARIA","Food and live animals",8449051,2370,3565,0
"KAMPUCHEA,","Food and live animals",593830671,148000,4012,0.03
"CAMEROON,","Food and live animals",13714265,2620,5234,0
"CANADA","Food and live animals",367458654,710111,517,0.02
"CAPE VERDE","Food and live animals",342700,90,3808,0
"CHINA","Food and live animals",1108653392,366502,3025,0.06
"TAIWAN, PR","Food and live animals",1949644,552,3532,0
"CONGO","Food and live animals",49883,150,333,0
"CZECHOSLOV","Food and live animals",50020697,2300,21748,0
"BENIN","Food and live animals",2052711,5000,411,0
"DENMARK","Food and live animals",236769671,62431,3793,0.01
"ETHIOPIA","Food and live animals",15900016,3261,4876,0
"FIJI","Food and live animals",2469509,451,5476,0
"FINLAND","Food and live animals",1575796,388,4061,0
"FRANCE","Food and live animals",182880986,151964,1203,0.001
"GABON","Food and live animals",601000,490,1227,0
"GAMBIA","Food and live animals",2259737,2229,1014,0
"GERMANY, F","Food and live animals",2998421714,908151,3302,0.16
"GREEC","Food and live animals",6075248,1160,5237,0
"HONG KONG","Food and live animals",45086218,31348,1438,0.02
"HUNGARY","Food and live animals",1500096,350,4286,0
"INDIA","Food and live animals",416316452,214850,1938,0
"INDONESIA","Food and live animals",21051015,19148,1099,0
"IRAN","Food and live animals",899697,100,8997,0
"IRAQ","Food and live animals",15000359,2000,7500,0
"IRELAND","Food and live animals",26598788,5671,4690,0
"ISRAEL","Food and live animals",40395360,156439,258,0
"ITALY","Food and live animals",555886613,216593,2567,0.03
"COTE D' IVO","Food and live animals",5201213,4700,1107,0
"JAPAN","Food and live animals",135823640,41518,3271,0.01
"JORDAN","Food and live animals",1123054,110,10210,0
"KENYA","Food and live animals",12938135,6413,2017,0
"KOREA DEMO","Food and live animals",1190581,44,27059,0
"KOREA REPU","Food and live animals",17159487,4145,4140,0
"KUWAIT","Food and live animals",6207617,10260,605,0
"LEBANON","Food and live animals",2060002,375,5493,0
"LESOTHO","Food and live animals",2560465,2340,1094,0
"LIBERIA","Food and live animals",300303,500,601,0
"LIBYAN ARA","Food and live animals",30425382,19583,1554,0
"MALAWI","Food and live animals",9248703,10122,914,0
"MALAYSIA","Food and live animals",1517525,110,13796,0
"MALTA","Food and live animals",99766,70,1425,0
"MEXICO","Food and live animals",75276452,1040,72381,0
"MOROCO","Food and live animals",850401,580,1466,0
"NAMIBIA","Food and live animals",7800280,7290,1070,0
"NETHERLAND","Food and live animals",482327086,292164,1651,0
